                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 1.6696,                  1.466,                 1.6378,                0.64222,                0.57149,                0.53751,                  0.301,                  1.759,                 1.8163,                 1.7586,               0.004654,               0.004654,               0.004654
                     56,                 1.6425,                 1.4675,                 1.6095,                0.59285,                0.55182,                0.53432,                0.30149,                 1.7616,                 1.7329,                 1.7639,               0.004555,               0.004555,               0.004555
                     57,                 1.6197,                 1.4196,                 1.5792,                 0.5655,                0.56899,                0.54514,                0.30736,                 1.7381,                 1.7441,                 1.7646,               0.004456,               0.004456,               0.004456
                     58,                 1.5945,                 1.3904,                 1.5733,                0.67097,                0.53951,                0.55911,                0.31765,                 1.7432,                 1.7714,                 1.7647,               0.004357,               0.004357,               0.004357
                     59,                 1.6152,                 1.3877,                 1.5925,                0.63774,                0.59206,                0.55281,                0.30186,                 1.7434,                 1.6752,                 1.7485,               0.004258,               0.004258,               0.004258
                     60,                 1.5747,                 1.3561,                 1.5445,                0.63475,                0.57181,                0.53244,                0.30538,                  1.708,                 1.7275,                 1.7487,               0.004159,               0.004159,               0.004159
                     61,                 1.6205,                 1.3732,                  1.591,                0.63582,                0.59933,                0.54486,                0.31142,                 1.7187,                 1.6471,                 1.7362,                0.00406,                0.00406,                0.00406
                     62,                 1.6087,                 1.3791,                 1.5699,                 0.6401,                0.58902,                0.57028,                0.32588,                 1.7253,                  1.664,                 1.7391,               0.003961,               0.003961,               0.003961
                     63,                 1.5812,                 1.3286,                 1.5447,                0.68887,                0.53375,                0.55483,                0.31599,                  1.711,                 1.6938,                 1.7475,               0.003862,               0.003862,               0.003862
                     64,                 1.5673,                  1.324,                 1.5607,                 0.6346,                0.55384,                0.56835,                0.32524,                 1.7113,                 1.6254,                 1.7279,               0.003763,               0.003763,               0.003763
                     65,                 1.5535,                 1.3256,                 1.5307,                0.65279,                0.55343,                0.55165,                0.32013,                 1.6946,                 1.6853,                  1.718,               0.003664,               0.003664,               0.003664
                     66,                 1.5709,                 1.3109,                 1.5279,                0.58758,                0.57228,                0.55333,                0.32043,                 1.6873,                 1.7524,                 1.7203,               0.003565,               0.003565,               0.003565
                     67,                 1.5477,                 1.3143,                 1.5258,                0.61374,                 0.5649,                0.56467,                0.32206,                   1.72,                 1.6097,                 1.7264,               0.003466,               0.003466,               0.003466
                     68,                 1.5655,                 1.3115,                 1.5051,                0.64793,                0.57658,                0.59128,                0.33685,                 1.7169,                 1.6627,                 1.7331,               0.003367,               0.003367,               0.003367
                     69,                 1.5551,                 1.3132,                 1.5092,                 0.6091,                0.56351,                0.54203,                0.31704,                 1.6957,                 1.6415,                 1.7294,               0.003268,               0.003268,               0.003268
                     70,                 1.5562,                 1.3009,                 1.5285,                0.66043,                0.56967,                0.54405,                0.32017,                 1.6801,                 1.6434,                 1.6959,               0.003169,               0.003169,               0.003169
                     71,                 1.5204,                 1.2892,                 1.4994,                0.65059,                0.55743,                0.57875,                0.34475,                 1.6849,                 1.6723,                 1.7242,                0.00307,                0.00307,                0.00307
                     72,                 1.5465,                 1.2608,                 1.5042,                 0.6413,                0.57355,                0.54952,                0.31276,                 1.7248,                 1.6654,                 1.7368,               0.002971,               0.002971,               0.002971
                     73,                 1.5301,                  1.255,                 1.4962,                0.65175,                0.59482,                 0.5512,                   0.31,                 1.6922,                 1.5383,                 1.7233,               0.002872,               0.002872,               0.002872
                     74,                 1.5265,                 1.2669,                 1.5087,                0.63279,                0.59697,                0.55929,                0.31984,                 1.7003,                  1.689,                   1.73,               0.002773,               0.002773,               0.002773
                     75,                 1.4999,                 1.2384,                  1.494,                0.65676,                0.59098,                0.55828,                 0.3208,                 1.6875,                 1.6632,                 1.6941,               0.002674,               0.002674,               0.002674
                     76,                 1.5071,                 1.2389,                 1.4839,                0.65068,                0.59166,                0.56219,                0.32228,                 1.7161,                 1.6066,                 1.7397,               0.002575,               0.002575,               0.002575
                     77,                  1.489,                 1.2115,                 1.4761,                0.58365,                 0.6054,                0.54707,                0.31627,                 1.7104,                 1.5922,                 1.7261,               0.002476,               0.002476,               0.002476
                     78,                 1.5127,                 1.2418,                 1.4835,                0.67856,                0.56957,                0.53584,                0.30896,                 1.6887,                 1.6955,                 1.7168,               0.002377,               0.002377,               0.002377
                     79,                 1.4705,                  1.192,                 1.4483,                0.67744,                0.60157,                0.57825,                0.32659,                 1.6947,                  1.697,                 1.7202,               0.002278,               0.002278,               0.002278
